Target,N1,N2,N3,N4,N5,N6,N7,N8,N9
192,138,0,0,0,0,0,0.001910263,0.002013639,7
148,0,9,3,4,0,4,0.000169695,0.000513779,7
28,0,0,0,0,0,3,0.000100133,0.000260984,7
39,28,0,0,0,0,2,7.65E-05,0.000127978,7
58,45,0,0,0,0,20,8.90E-05,8.83E-05,7
62,0,0,0,113,0,218,0.001372152,0.000167531,7
62,0,0,0,113,0,218,0.001372152,0.000167531,7
33,0,16,0,40,24,58,0.001264425,0.000456377,7
27,58,0,0,0,0,29,0.000580329,0.00021647,7
36,0,0,3,28,0,76,0.000280572,0.000315742,7
41,0,0,3,28,0,76,0.000280572,0.000315742,7
36,0,0,3,28,0,76,0.000280572,0.000315742,7
41,0,0,3,28,0,76,0.000280572,0.000315742,7
75,114,0,0,0,0,30,0.000663166,0.000757588,7
64,56,0,0,0,0,9,0.000537347,0.000272092,7
64,56,0,0,0,0,9,0.000537347,0.000272092,7
208,75,0,0,0,0,16,0.000415873,0.000419484,7
110,203,0,0,0,0,69,0.001662474,0.000458418,7
150,54,0,0,0,0,0,0.000595715,0.004467158,7
241,0,122,2,13,0,52,0.004655585,0.00323587,7
63,0,0,0,57,0,254,0.003796267,0.001021697,7
60,30,0,0,0,0,22,0.000443915,0.000657054,7
29,0,18,0,10,18,16,0.000114873,0.003356562,7
31,0,30,0,46,65,54,0.001293103,0.007311416,7
23,0,16,0,64,0,32,0.000379758,0.000247786,7
103,107,0,0,0,0,50,0.003405232,0.000627952,7
103,107,0,0,0,0,50,0.003405232,0.000627952,7
103,107,0,0,0,0,50,0.003405232,0.000627952,7
103,107,0,0,0,0,50,0.003405232,0.000627952,7
100,167,0,0,0,0,121,0.000156336,0.000475587,7
75,31,0,0,0,0,4,0.000338704,0.00144273,7
146,27,0,0,0,0,11,0.000780279,0.000449255,7
44,47,0,0,0,0,24,0.000166106,0.000287261,7
40,34,0,0,0,0,8,1.87E-05,4.85E-05,7
255,2197,0,0,0,0,134,0.001873837,0.002865512,7
23,0,3,0,4,14,16,0.000554117,0.000148712,7
128,0,2,0,9,0,7,0.000340655,0.000126804,7
46,71,0,0,0,0,37,0.001130533,0.00063528,7
60,30,0,0,0,0,22,0.000443915,0.000657054,7
23,0,0,0,8,24,12,0.000102917,0.000140662,7
70,45,0,0,0,0,29,0.001632259,0.000682177,7
78,0,0,0,0,0,18,0.001599728,0.001203289,7
40,28,0,0,0,0,12,5.73E-05,0.000211165,7
40,28,0,0,0,0,12,5.73E-05,0.000211165,7
55,0,6,0,4,11,5,0.000153885,0.000276131,7
28,0,2,0,0,6,2,0.000852858,0.000718392,7
156,33,0,0,0,0,1,0.000242206,9.80E-05,7
156,33,0,0,0,0,1,0.000242206,9.80E-05,7
57,0,0,0,1,12,8,0.002626611,0.00058596,7
234,24,0,0,0,0,9,0.006240075,0.007838202,7
245,0,12,0,11,32,29,2.04E-05,1.16E-05,8
128,29,0,0,0,0,14,1.10E-05,4.05E-05,8
180,29,0,0,0,0,14,1.10E-05,4.05E-05,8
32,29,0,0,0,0,14,1.10E-05,4.05E-05,8
45,29,0,0,0,0,14,1.10E-05,4.05E-05,8
24,9,0,0,0,0,4,2.45E-06,4.38E-06,8
66,0,2,0,2,0,10,2.84E-05,2.37E-05,12
22,0,2,0,2,0,10,2.84E-05,2.37E-05,12
49,24,0,0,0,0,4,2.64E-05,2.02E-05,13
36,0,84,0,0,0,0,2.26E-05,2.12E-05,13
48,17,0,0,0,0,6,8.18E-05,4.78E-05,13
